Transaction_ID,Date,Time,City,State,Country,Zipcode,Amount,Status
b93bc6f539b6a9295399e034b5244d06,01-07-2012,08:56:12,Pune,Maharashtra,India,411001,3471.8923,Successful
f68e7f53b7133a79d85cfc3f49b85a5b,02-07-2012,19:04:32,Pune,Maharashtra,India,411001,6242.8149,Successful
9f8b92a96c36b7ab225af64ff8ca45f2,03-07-2012,12:50:27,Pune,Maharashtra,India,411001,1094.1387,Successful
ee79cfc647c44ba5bcbb1735179dbf6b,04-07-2012,16:22:01,Pune,Maharashtra,India,411001,4185.7064,Successful
8d7ffbfe2063bc08317468fe1de421fc,05-07-2012,11:39:43,Pune,Maharashtra,India,411001,3328.7292,Successful
d763b1ecf0214e45be914c029b05c276,06-07-2012,10:29:59,Pune,Maharashtra,India,411001,1225.9445,Successful
69da078d5489c2dbfcbbcfbedc57b28b,07-07-2012,14:17:23,Pune,Maharashtra,India,411001,2895.7823,Successful
95c430e71352b3d2b3a545b7b9a5f8c7,08-07-2012,01:22:13,Pune,Maharashtra,India,411001,6477.2756,Successful
b7dbdb939e98a3198a0191e7b5c8c144,09-07-2012,13:39:40,Pune,Maharashtra,India,411001,2911.8821,Successful
575beaa7ad68d6fa5b6ccf0d4f8f202d,10-07-2012,03:27:35,Pune,Maharashtra,India,411001,3385.0249,Successful
c26e80962b0c332c1a2e4f90b1947d4b,11-07-2012,06:14:47,Pune,Maharashtra,India,411001,5647.9671,Failed
f4a713ce9a3fbd25566c7cb593a79a71,12-07-2012,07:55:00,Pune,Maharashtra,India,411001,1943.1078,Successful
ea8e1d705c436a1adad5b9f2ca72f774,13-07-2012,02:24:14,Pune,Maharashtra,India,411001,912.6818,Successful
5b3d1b440e36a24f066e3c5a29ab63a1,14-07-2012,10:03:25,Pune,Maharashtra,India,411001,2276.7265,Successful
57db559fd3b9dbbbfecd59c372db6890,15-07-2012,23:42:06,Pune,Maharashtra,India,411001,4859.7129,Successful
0e1d849f45d5a2fae6a3517585a29b5e,16-07-2012,12:56:41,Pune,Maharashtra,India,411001,2763.3846,Successful
be7501cc58657659013a795388602f64,17-07-2012,19:31:23,Pune,Maharashtra,India,411001,6340.0105,Successful
b4592f4c59d61ca74501ea01ed8cc2a3,18-07-2012,16:39:06,Pune,Maharashtra,India,411001,5247.5721,Successful
4b20182436c8f9fa2f18cc0c430ea5c2,19-07-2012,04:01:09,Pune,Maharashtra,India,411001,1525.6955,Successful
7d497358b6b1f206b6d6de573d8f6a7e,20-07-2012,11:04:12,Pune,Maharashtra,India,411001,4217.2751,Failed
4c8368b8ec385f7d7744cb01a5d7c401,21-07-2012,17:55:47,Pune,Maharashtra,India,411001,7014.5886,Successful
d24b61b5396c0e44a24b541a40ae4325,22-07-2012,12:47:01,Pune,Maharashtra,India,411001,3975.6324,Successful
6f1f17ae3b2c33ff1103f7a712ff490f,23-07-2012,09:32:30,Pune,Maharashtra,India,411001,5518.2234,Successful
ebd2fce349be70ac98976e70a040077a,24-07-2012,03:26:13,Pune,Maharashtra,India,411001,4719.7792,Successful
f5311acb6d9e5d4f1fe9c4e3d049ddcb,25-07-2012,07:16:56,Pune,Maharashtra,India,411001,2760.3037,Successful
232f8c803cc5e7c8b8c32509f466fd87,26-07-2012,14:02:05,Pune,Maharashtra,India,411001,1048.9248,Failed
2f2f24588b1ffb1cb941b57d6a9d318b,27-07-2012,21:39:52,Pune,Maharashtra,India,411001,8425.6023,Successful
e82897489b6ef4d3a739e0147393b5ae,28-07-2012,10:57:40,Pune,Maharashtra,India,411001,2782.3949,Successful
9a5d60fa2c9d0d026d050a8ae44c7f75,29-07-2012,23:16:44,Pune,Maharashtra,India,411001,1336.2644,Successful
7c5e0f635a9b5878e3fe946b8d70e40e,30-07-2012,12:37:15,Pune,Maharashtra,India,411001,4868.3488,Successful
f4d4c9b0d7e84a14b24a078d20cf71f1,31-07-2012,10:02:57,Pune,Maharashtra,India,411001,2433.6518,Successful
0139d34c41c26c26d52c31ac063cd2f7,01-08-2012,14:05:39,Pune,Maharashtra,India,411001,5998.5767,Failed
45044b0ad0acb1c6259a703474459ba0,02-08-2012,09:49:41,Pune,Maharashtra,India,411001,3291.2813,Successful
ce631b1b17b01b0f4e22862a75a8a3fc,03-08-2012,05:20:00,Pune,Maharashtra,India,411001,2117.8599,Successful
b39a9a0ac9c6cf4cfed0e7b65f6878b5,04-08-2012,08:50:57,Pune,Maharashtra,India,411001,5174.1479,Successful
15cf57d9067d6e56e54d198f506d10ca,05-08-2012,13:32:10,Pune,Maharashtra,India,411001,3205.8483,Successful
ea3de22e68d17f093dd35ab4b170c5c9,06-08-2012,18:11:34,Pune,Maharashtra,India,411001,2578.2916,Successful
d428110f16f014a89961f49083d24b8e,07-08-2012,15:46:20,Pune,Maharashtra,India,411001,4155.3187,Successful
040d80a618c24b4d9727207ebfc71a4c,08-08-2012,03:57:06,Pune,Maharashtra,India,411001,2806.4282,Successful
29a49f5f9c517e804d99251058160e38,09-08-2012,09:06:37,Pune,Maharashtra,India,411001,1474.8654,Successful
8bfe82fafffdc845a34e036de12ab173,10-08-2012,12:22:43,Pune,Maharashtra,India,411001,2723.6471,Successful
98c593aa6b8e5d5770a8e5c5b5d8a45c,11-08-2012,21:57:59,Pune,Maharashtra,India,411001,4168.7535,Successful
4be6b5b1c6bcd8f93e4741ad36c7f56c,12-08-2012,01:43:44,Pune,Maharashtra,India,411001,6233.1173,Successful
85ba7747580cc9e88e6a2d4709c12e56,13-08-2012,19:51:47,Pune,Maharashtra,India,411001,1382.7198,Successful
f7b15d0842d443f3bfa52cb65a04b4d3,14-08-2012,04:47:57,Pune,Maharashtra,India,411001,3072.9837,Failed
8f7d23eb6b63616762b8f687f0759b92,15-08-2012,11:05:14,Pune,Maharashtra,India,411001,4362.2387,Successful
6b9cfdd5f35edfe59006e0853882c01a,16-08-2012,15:43:46,Pune,Maharashtra,India,411001,6148.6852,Successful
78df50f7e2a5da24d7b92c87fe7b8b04,17-08-2012,09:24:30,Pune,Maharashtra,India,411001,5272.7049,Failed
f1739d7421e64ab5b70867cae7da232b,18-08-2012,07:38:21,Pune,Maharashtra,India,411001,4679.6074,Successful
c0c60b711b9414b61f67bc678f36e597,19-08-2012,23:57:43,Pune,Maharashtra,India,411001,2645.2673,Successful
2ec9752bb7f394178c500b8ad7f84e07,20-08-2012,10:23:33,Pune,Maharashtra,India,411001,2120.5643,Successful
5d18d49f7ec9516f1633a5fc60b45314,21-08-2012,18:19:18,Pune,Maharashtra,India,411001,2824.3722,Successful
f6f4f2b929af3d60b189d990e56c8f9f,22-08-2012,08:12:40,Pune,Maharashtra,India,411001,5147.9832,Successful
83968c0288a04f6cbd9c6b67e6e4e4f1,23-08-2012,05:18:09,Pune,Maharashtra,India,411001,6273.2254,Successful
b243072649b9a1b03fd8adbed07ffacb,24-08-2012,10:23:50,Pune,Maharashtra,India,411001,2549.3645,Successful
d98d1c8f1c5f84eb1b1240c1be842019,25-08-2012,01:02:21,Pune,Maharashtra,India,411001,1712.7346,Failed
a9ec2b4aaff0b13e08f396e25a64d289,26-08-2012,12:09:56,Pune,Maharashtra,India,411001,3956.6545,Successful
d64833ab88a6c4d7ab7d94a49a9c30a5,27-08-2012,03:47:33,Pune,Maharashtra,India,411001,2063.8782,Successful
0bc4c9f19a83f7275a43d215a62d72b4,28-08-2012,21:39:58,Pune,Maharashtra,India,411001,4735.9648,Successful
2c88d2f6f888049d1eaafc9c2d73055f,29-08-2012,15:24:51,Pune,Maharashtra,India,411001,6156.3457,Failed
83a43063162e53b13eecf5ac03e572db,30-08-2012,06:51:36,Pune,Maharashtra,India,411001,2399.0839,Successful
